ID_Produk,Bulan,Produk_Variasi,Stok_Awal,Total_Jumlah,Stok_Akhir,Pending,Stok_Status
16,2023-11,Toilet Training Seat Merk Sugar Baby - Warna Pink,55,2,53,0,Overstock
46,2023-12,"8in1 Gift Parcel Bayi Import - Motif Gajah Hijau, Usia 6–9 Bulan",18,1,17,0,Kurang Optimal
41,2023-12,"8in1 Gift Parcel Bayi Import - Motif Kelinci, Usia 0–3 Bulan",1,1,0,0,Optimal
47,2023-12,"8in1 Gift Parcel Bayi Import - Motif Kelinci, Usia 3–6 Bulan",19,2,17,0,Kurang Optimal
42,2023-12,"8in1 Gift Parcel Bayi Import - Motif Unicorn, Usia 0–3 Bulan",11,1,10,0,Kurang Optimal
48,2023-12,"Baju Renang Anak Premium Motif Karakter - Ukuran S, Boy",1,1,0,0,Optimal
4,2023-12,"Diapers Renang Anak Merk WyethUs - Warna Biru, Ukuran L",5,2,3,0,Kurang Optimal
7,2023-12,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran L",4,4,0,0,Optimal
8,2023-12,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran M",1,4,0,3,Understock
19,2023-12,"Diapers Renang Anak Merk WyethUs - Warna Pink, Ukuran XL",82,10,72,0,Overstock
49,2023-12,"Diapers Renang Anak merk wyeth us - Warna Biru, Ukuran L",3,5,0,2,Understock
50,2023-12,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran M",3,3,0,0,Optimal
51,2023-12,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran XL",83,5,78,0,Overstock
10,2023-12,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Boy",34,1,33,0,Overstock
13,2023-12,Kertas Kado Bayi - Tidak ada variasi,42,1,41,0,Overstock
15,2023-12,Toilet Training Seat Merk Sugar Baby - Warna Biru,1,1,0,0,Optimal
46,2024-01,"8in1 Gift Parcel Bayi Import - Motif Gajah Hijau, Usia 6–9 Bulan",68,1,67,0,Overstock
48,2024-01,"Baju Renang Anak Premium Motif Karakter - Ukuran S, Boy",54,1,53,0,Overstock
3,2024-01,Buku Jurnal Bayi Merk My Baby Journal - Tidak ada variasi,101,1,100,0,Overstock
49,2024-01,"Diapers Renang Anak merk wyeth us - Warna Biru, Ukuran L",110,17,93,0,Overstock
52,2024-01,"Diapers Renang Anak merk wyeth us - Warna Biru, Ukuran M",30,10,20,0,Kurang Optimal
53,2024-01,"Diapers Renang Anak merk wyeth us - Warna Biru, Ukuran XL",16,15,1,0,Kurang Optimal
54,2024-01,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran L",42,27,15,0,Kurang Optimal
50,2024-01,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran M",23,24,0,1,Understock
51,2024-01,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran XL",39,21,18,0,Kurang Optimal
11,2024-01,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",1,1,0,0,Optimal
55,2024-01,Piano Playmat Merk Sugar Baby - Warna Biru,1,1,0,0,Optimal
39,2024-01,Piano Playmat Proyektor Merk Sugar Baby - Warna Pink,21,1,20,0,Kurang Optimal
36,2024-01,Toilet Training Seat Merk Sugar Baby - Warna Abu,1,1,0,0,Optimal
56,2024-02,"Baju Renang Anak Premium Motif Karakter - Ukuran L, Boy",1,1,0,0,Optimal
57,2024-02,"Baju Renang Anak Premium Motif Karakter - Ukuran M, Boy",23,2,21,0,Overstock
58,2024-02,"Baju Renang Anak Premium Motif Karakter - Ukuran M, Girl",1,1,0,0,Optimal
49,2024-02,"Diapers Renang Anak merk wyeth us - Warna Biru, Ukuran L",55,34,21,0,Overstock
52,2024-02,"Diapers Renang Anak merk wyeth us - Warna Biru, Ukuran M",10,13,0,3,Understock
53,2024-02,"Diapers Renang Anak merk wyeth us - Warna Biru, Ukuran XL",56,39,17,0,Kurang Optimal
54,2024-02,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran L",46,22,24,0,Overstock
50,2024-02,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran M",35,13,22,0,Overstock
51,2024-02,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran XL",45,12,33,0,Overstock
44,2024-02,Handuk Renang Anak Hoodie Ponco - Gender Girl,17,1,16,0,Kurang Optimal
11,2024-02,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Girl",12,4,8,0,Kurang Optimal
59,2024-02,Kursi Mandi Bayi Lipat Merk Sugar Baby - Warna Pink,92,1,91,0,Overstock
60,2024-02,Piano Playmat Merk Sugar Baby - Warna Merah,49,1,48,0,Overstock
21,2024-02,Softbook Edukasi Bayi Motif Hewan - Motif Owl,1,1,0,0,Optimal
36,2024-02,Toilet Training Seat Merk Sugar Baby - Warna Abu,1,1,0,0,Optimal
16,2024-02,Toilet Training Seat Merk Sugar Baby - Warna Pink,1,1,0,0,Optimal
61,2024-03,"8in1 Gift Parcel Bayi Import - Motif Sheep, Usia 3–6 Bulan",1,1,0,0,Optimal
62,2024-03,8in1 Gift Parcel Bayi Import - Usia 6–9 Bulan,16,1,15,0,Kurang Optimal
63,2024-03,"Diapers Renang Anak - Warna Biru, Ukuran L",7,12,0,5,Understock
64,2024-03,"Diapers Renang Anak - Warna Biru, Ukuran M",5,9,0,4,Understock
65,2024-03,"Diapers Renang Anak - Warna Biru, Ukuran XL",15,19,0,4,Understock
66,2024-03,"Diapers Renang Anak - Warna Pink, Ukuran L",66,4,62,0,Overstock
67,2024-03,"Diapers Renang Anak - Warna Pink, Ukuran M",9,3,6,0,Kurang Optimal
68,2024-03,"Diapers Renang Anak - Warna Pink, Ukuran XL",6,9,0,3,Understock
