Tanggal,Total Penjualan (IDR),Total Pesanan,Penjualan per Pesanan,Produk Dilihat,Total Pengunjung,Tingkat Konversi (Pesanan Siap Dikirim),Pesanan Dibatalkan,Penjualan Dibatalkan,Pesanan Dikembalikan,Penjualan Dikembalikan,Pembeli,Total Pembeli Baru,Total Pembeli Saat Ini,Total Potensi Pembeli,Tingkat Pembelian Berulang
21-07-2023,0,0,"0,00",35,16,"0,00%",0,0,0,0,0,0,0,3,"0,00%"
22-07-2023,420.9,3,"140.300,00",67,19,"15,79%",0,0,0,0,3,3,0,4,"0,00%"
23-07-2023,0,0,"0,00",22,16,"0,00%",0,0,0,0,0,0,0,3,"0,00%"
24-07-2023,44.8,1,"44.800,00",55,27,"3,70%",0,0,0,0,1,1,0,4,"0,00%"
25-07-2023,43.96,1,"43.960,00",38,23,"4,35%",0,0,0,0,1,1,0,3,"0,00%"
26-07-2023,0,0,"0,00",43,21,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
27-07-2023,0,0,"0,00",39,19,"0,00%",0,0,0,0,0,0,0,5,"0,00%"
28-07-2023,111.596,2,"55.798,00",25,12,"16,67%",0,0,0,0,2,1,1,1,"0,00%"
29-07-2023,0,0,"0,00",63,22,"0,00%",0,0,0,0,0,0,0,9,"0,00%"
30-07-2023,0,0,"0,00",34,21,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
31-07-2023,0,0,"0,00",31,13,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
1/8/2023,0,0,"0,00",25,7,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
2/8/2023,0,0,"0,00",34,14,"0,00%",0,0,0,0,0,0,0,0,"0,00%"
3/8/2023,0,0,"0,00",24,11,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
4/8/2023,137.4,3,"45.800,00",50,17,"17,65%",0,0,0,0,3,2,1,6,"0,00%"
5/8/2023,0,0,"0,00",15,5,"0,00%",0,0,0,0,0,0,0,0,"0,00%"
6/8/2023,0,0,"0,00",23,14,"0,00%",0,0,0,0,0,0,0,3,"0,00%"
7/8/2023,0,0,"0,00",15,9,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
8/8/2023,0,0,"0,00",91,18,"0,00%",0,0,0,0,0,0,0,5,"0,00%"
9/8/2023,0,0,"0,00",49,14,"0,00%",0,0,0,0,0,0,0,5,"0,00%"
10/8/2023,90.476,2,"45.238,00",36,8,"12,50%",1,45.238,0,0,1,1,0,3,"100,00%"
11/8/2023,125.5,2,"62.750,00",67,20,"10,00%",0,0,0,0,2,1,1,4,"0,00%"
12/8/2023,172.3,2,"86.150,00",30,14,"14,29%",0,0,0,0,2,1,1,2,"0,00%"
13-08-2023,0,0,"0,00",23,12,"0,00%",0,0,0,0,0,0,0,0,"0,00%"
14-08-2023,74.7,1,"74.700,00",63,14,"7,14%",0,0,0,0,1,1,0,3,"0,00%"
15-08-2023,44.8,1,"44.800,00",12,9,"11,11%",0,0,0,0,1,0,1,2,"0,00%"
16-08-2023,0,0,"0,00",20,15,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
17-08-2023,0,0,"0,00",24,6,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
